IdProducto	DescProducto	Conjunto	Familia
@1829343	MAC BRUSSEL REDONDA ALTA 27 BL	MACETEROS PLASTICOS	JARDIN
@248661X	VENT INDUSTRIAL 56 1 LUZ	VENTILADORES INDUSTRIALES SIN LUZ	ILUMINACION Y VENTILADORES
@2068915	PC ALV CLEAR 6MM 5.80X2.10	POLICARBONATO ALVEOLAR	TABIQUERIA/TECHUMBRE/AISLACION
@2365944	ASIENTO ELONGD BL	ASIENTOS DE PLASTICOS	BANOS Y COCINAS
@1853066	SBL CERCO PUNTAS 5 X 6UND	TRAMPAS INSECTOS	JARDIN
@1191055	PINT TRAFICO KARSON BLAN 1GL	DEMARCACION DE PISOS	PINTURA Y ACCESORIOS
@1150677	CM OLLA RCO185/PL I1700	COMBOS DE LINEA BLANCA	LINEA BLANCA Y CLIMATIZACION
@2466589	SPOT ROND 1LZ BRNC	PLAFONES CUADRADOS LED INTEGRADO	ILUMINACION Y VENTILADORES
@179329	RIEL 65MMX25MMX0.45MMX3M VOLC	PARED / TABIQUE / CANAL DE CARGA	FIERRO/HIERRO/ACERO
@1294490	TINA CORONITA 120X75X36 CM BO.	FIBRA DE VIDRIO	BANOS Y COCINAS
@2579510	PLANCHA TH 7170	PLANCHAS A VAPOR PARA ROPA	LINEA BLANCA Y CLIMATIZACION
@1326945	VALVULA COMP BCE 250LBS 3/4.	VALVULA COMPUERTA	PLOMERIA / GASFITERIA
@1038982	I-MB MURAL 60X32X31 2PCAMP CAN	MUEBLES DE COCINA RTA ALACENAS Y GABINETES	BANOS Y COCINAS
@2762110	EDREDON 1.5 PLZ ENERGIA DBS	PLUMONES/EDREDONES  DE LICENCIAS	DECORACION
@2487187	FRAZADA SHERPA ROSA KING	FRAZ FIBRA NATURALES	DECORACION
@2672413	SAMSUNG TV UHD 50MU6103	TELEVISORES UHD	LINEA BLANCA Y CLIMATIZACION
@2543915	SET PUSH BAR	ACCESORIOS FITNES	AIRE LIBRE
@14257	SET DE BROCAS 5 COP	BROCA EN SETS Y/O KIT	HERRAMIENTAS Y MAQUINARIAS
@377589	BARRA DE SEGURIDAD BRONCE 15	BARRAS DE SEGURIDAD	BANOS Y COCINAS
@2669609	INDIVIDUAL REDONDO PLATEADO	INDIVIDUALES	TEMPORADA
@388114	TAPA FINAL E 13X7 DX.	ACCESORIOS CANALETAS / CABLECANALES	ELECTRICIDAD
@522228	RAID PASTILLAS RPTO 24	REPELENTES PARA INSECTOS	JARDIN
@82481	TEJA ANDINA 1.14MX0.72M	OTRAS TEJAS CORTAS	TABIQUERIA/TECHUMBRE/AISLACION
@344060	CAPUCHA P/PLUG DX  X10 AZUL.	OTROS ACCESORIOS AMARRACABLES	ELECTRICIDAD
@2571617	CORTINA BANO EAST 180X180CM	CORTINAS DE BANO POLYESTER	DECORACION
@2272687	IO VASO TERMICO OUTDOO  KEE450	TERMOS LIQUIDO	MENAJE
@1551876	SET10 PZAS ALFOMBRA EVA 30X30	ALFOMBRAS / TAPETES IN DOOR OUT DOOR	DECORACION
@2439123	CORAZONMINNIE17X16X4 FLOR	LICENCIAS INFANTILES	ORGANIZACIÓN
@1410393	BONNGLOSS BLANCO GALON	INDUSTRIALES/EPOXICOS/PU	PINTURA Y ACCESORIOS
@2033801	BOTELLA TRITAN 750ML MORADO HC	TERMOS LIQUIDO	MENAJE
@2460955	PE C.ENT RN NOG 136X46X197 50P	CENTRO ENTRETENIMIENTO MADERA	MUEBLES
@1578936	CACEROLA DOS ASAS C/TAPA 24 CM.	OLLAS GRANEL ANTIADHERENTE	MENAJE
@2352494	BORNERA CONEX TIE VDE	ACCESORIOS TABLEROS Y MEDIDORES	ELECTRICIDAD
@2439654	TOMATODO PRISMA O2COOL	TERMOS LIQUIDO	MENAJE
@500151	SERVICO CORTE RECTO ADICIONAL	INST DECKING B3	MADERA Y TABLEROS
@1729640	AUTORROS 6X11/2+T/NYLON M5 8U	SET TARUGOS/TAQUETES CON TORNILLOS Y OTROS	FERRETERIA
@2135361	CEPILLO 6HILER ACER	REBAJAR Y PULIR MADERA	HERRAMIENTAS Y MAQUINARIAS
@2528908	INFLABLE SANTA SENTADO 123CM	INFLABLES	TEMPORADA
@2365308	COCHE UBERMANN 2EN1 CARG 150KG	CARRO CARGA	FERRETERIA
@226448X	APLIQUE EXTERIOR REDONDO	APLIQUES	ILUMINACION Y VENTILADORES
@2594811	ARROC OSTER1.8LT/CERAMC/VAP	OLLAS ARROCERAS	LINEA BLANCA Y CLIMATIZACION
@1673882	PLAFON CUADRADO GRIS 2L	PLAFONES REDONDOS VIDRIO	ILUMINACION Y VENTILADORES
@2663368	CABECERA 2PLZ 2 VELAD BL/ROB	RESPALDOS	MUEBLES
@1213717	PLACA IRIS GRIS CENIZO	PLACAS SOLAS COLOR	ELECTRICIDAD
@2264323	FAROL 2295	FAROLES DE PARED	ILUMINACION Y VENTILADORES
@2247097	CABLE THHN 14AWG ROJO X50M	POR ROLLO	ELECTRICIDAD
@1582909	CUBICO 30X30X56 CM BLANCO.	MACETEROS AUTORREGANTES	JARDIN
@2459027	P DILAT 45CMX2.40MTS  CERZ OSC	OTROS	PISOS
@1573470	JGO SAB 2 PLZ VERDE FASHION	SABANAS LISAS POLI ALGODÓN 2 PLAZA/DOBLE	DECORACION
@34002	TIJERA PODA PROFESIONAL.	TIJERON DE PODA	JARDIN
@2063573	ARMADO SILLAS UND 150 A 349.90.	INST DECO HOMY	MUEBLES
@1933973	PE COS VIS MU 35X70/XTR932/PFPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@1753169	SPOT LED  2 VIDRIOS NIQ	SPOTS LED INTEGRADO	ILUMINACION Y VENTILADORES
@485373	GARRUCH IND 6 C/BASE MOV 120KG	RUEDAS	FERRETERIA
@2388308	SETX4 ORDORNO CHAMANA	ADORNOS COLGAR PLASTICO	TEMPORADA
@326933	O RING 110 GANSO LAV DUCHA 4U	REPUESTO/REFACCIONES DE GASFITERIA	PLOMERIA / GASFITERIA
@2516055	ROP MULTIUSO 2P 60X36X182 BLAN	CLOSETS /ROPEROS MADERA	MUEBLES
@24872X	MALLA RASH NEGRA 80% 4MX100M	MALLA SOMBREADORA / MALLASOMBRA	TABIQUERIA/TECHUMBRE/AISLACION
@2078074	GUANTES DOT GRIP LARGE	GUANTES	JARDIN
@2431688	IO GUANTE CONTRA CALOR NEGRO	ACCESORIOS DE PARRILLA PARA COCINAR	AIRE LIBRE
@2379066	SOPORTE DOBLE TECHO PLA 19/19M	GANCHOS	DECORACION
@2251191	SBL INDIVID LINEAS COLOR 45X33	INDIVIDUALES TELA Y FIBRA	MENAJE
@1018418	TARRO D CONCRETO DE SPOT LIGHT.	CAJAS EMPOTRADAS PVC	ELECTRICIDAD
@2574896	PREMIUM  CERESITA DEEP 1G	TINTOMETRIA LATEX/VINILOS INTERIOR PREMIUM	PINTURA Y ACCESORIOS
@1152408	SWITCH 10/100MBPS 5 PTS RJ45.	COMPUTADORES PORTATILES	CASA INTELIGENTE
@2254913	OI MUEBLE P/BAÑO CIBELES BL	OTROS MUEBLES	BANOS Y COCINAS
@2053136	PLAFON ALABASTRO 30CM 2XE27	PLAFONES REDONDOS VIDRIO	ILUMINACION Y VENTILADORES
@1610287	CANDADO YL C/CLAVE 28MM GRIS	CANDADO COMUN	FERRETERIA
@198978	UNIÓN SAP 3/4.	FITTING/CONEXIONES TUBOS RIGIDOS PVC	ELECTRICIDAD
@2509652	DOWNLIGHT ADOSAR CUAD 12W LC 	DOWNLIGHTS SOBREPONER LED INTEGRADO	ILUMINACION Y VENTILADORES
@197009	SPOT EMP FROST 2XE27 SILVER	SPOTS DICROICOS LLANOS DIRIGIBLES	ILUMINACION Y VENTILADORES
@124052	DESLIZADOR PESADO 2 X 4UND	PATINES Y REGATONES / DESLIZADORES	FERRETERIA
@2522705	CARGAD AUTO USB - DC12V DAIRU	OTROS ACCESORIOS	CASA INTELIGENTE
@2431750	SB ESCALA NAVIDENA  2 PELDANOS	BUTACOS / BANCOS PLASTICOS Y ESCALERILLAS	MUEBLES
@2112205	MARTILLO JEBE NEGRO 18OZ MJ	MAZOS	HERRAMIENTAS Y MAQUINARIAS
@1865633	TAPON MACHO PVC 3/4 UR	FITTINGS/CONEXIONES PVC HIDRAULICO	PLOMERIA / GASFITERIA
@84255	ALAM NEGRO RECOCIDO 8X100KG	ALAMBRE NEGRO	TABIQUERIA/TECHUMBRE/AISLACION
@2577984	BOTELLA TRITAN 450 PAWPAT	MENAJE INFANTIL	MENAJE
@226255X	CANASTO PLASTICO CHICO	CANASTOS DUCHA (CHUPONES)	ORGANIZACIÓN
@1717766	PE EQUIPO DESCALCIFICADOR CALM	DRENAJES QUIMICOS	PLOMERIA / GASFITERIA
@1280368	BRAZO DE DUCHA ABS CR AC023	BRAZO	BANOS Y COCINAS
@2645769	FAROL COLGANTE CAPRI BCO E27	FAROLES DE TECHO	ILUMINACION Y VENTILADORES
@1585312	BISAGRA CLIP TOP 107 LATERAL	BISAGRAS RETEN / PARCHE / CANGREJO CIERRE SUAVE	FERRETERIA
